"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
22539,543037,"Cole, Gerrit",22539,100,0.224,0.15,0.296,0.374,0.281,0.282,0.221,1156,5172,88.1,12,2372,92.4,92.08,3190,10957,11563,-0.30000000000001137,6.24,111,153,116,150,294,319,292
22497,453286,"Scherzer, Max",22497,100,0.201,0.147,0.274,0.348,0.26,0.257,0.196,1058,5269,86.9,18.4,2316,89.6,89.03,3810,11774,10709,-0.5999999999999943,6.03,112,152,114,148,294,313,294
21139,425844,"Greinke, Zack",21139,100,0.237,0.147,0.277,0.384,0.284,0.297,0.244,1225,5168,87.6,10.6,2246,86.1,85.38,2405,9830,11297,-0.6999999999999886,5.86,113,154,114,150,298,322,299
21079,502043,"Gibson, Kyle",21079,100,0.265,0.154,0.307,0.419,0.325,0.327,0.263,1302,4914,88.1,7.2,2148,88.4,88.81,2404,9669,11386,0.3999999999999915,6.54,108,150,114,146,294,320,292
20751,592662,"Ray, Robbie",20751,100,0.232,0.18,0.302,0.412,0.314,0.309,0.228,1035,4464,89.7,14.7,2208,90.4,90.05,2938,9759,10974,-0.4000000000000057,6.2,108,152,115,148,300,322,295
19781,592332,"Gausman, Kevin",19781,100,0.258,0.161,0.317,0.419,0.313,0.313,0.251,1190,4615,88.2,12,2051,90.2,89.85,2759,9976,9802,-0.4000000000000057,6.29,109,154,116,148,297,317,295
19759,571578,"Corbin, Patrick",19759,100,0.27,0.173,0.325,0.443,0.329,0.331,0.264,1294,4798,89.2,8.7,2196,87.1,87.26,2489,9396,10356,0.20000000000000284,6.43,108,151,114,147,303,321,296
19712,500779,"Quintana, José",19712,100,0.257,0.148,0.312,0.405,0.31,0.312,0.255,1171,4555,88.2,11.8,1995,87.5,87.42,1931,8914,10773,-0.09999999999999432,6.38,109,151,110,147,298,316,290
19565,518516,"Bumgarner, Madison",19565,100,0.24,0.172,0.282,0.411,0.301,0.313,0.246,1130,4714,88.6,15.7,2269,86.8,86.59,2222,9635,9922,-0.20000000000000284,6.36,109,150,113,146,296,319,294
19280,605400,"Nola, Aaron",19280,100,0.229,0.142,0.296,0.371,0.285,0.28,0.223,1056,4610,87.4,9.9,2150,86.7,86.97,2412,8979,10288,0.29999999999999716,6.6,109,152,114,148,294,321,292
19029,452657,"Lester, Jon",19029,100,0.256,0.159,0.302,0.415,0.314,0.314,0.251,1118,4366,87.5,11.2,2241,87.4,87.18,1939,8698,10328,-0.20000000000000284,6.22,109,151,109,148,295,316,291
19024,543294,"Hendricks, Kyle",19024,100,0.246,0.15,0.285,0.396,0.297,0.3,0.247,1144,4658,86.2,10.5,2084,83.9,82.58,1913,8699,10308,-1.3000000000000114,5.77,113,153,112,150,294,318,294
18904,434378,"Verlander, Justin",18904,100,0.201,0.149,0.254,0.35,0.26,0.266,0.206,866,4310,87.5,18.6,2548,90.2,88.74,2642,9608,9288,-1.5,5.91,111,154,115,149,294,319,292
18737,458681,"Lynn, Lance",18737,100,0.238,0.145,0.296,0.384,0.3,0.293,0.227,987,4140,87.6,12.8,2373,91.1,90.31,2261,9026,9689,-0.7999999999999972,6.11,110,151,112,148,295,319,296
18601,545333,"Bauer, Trevor",18601,100,0.227,0.16,0.288,0.387,0.299,0.299,0.224,942,4149,88.6,13.7,2419,88,87.08,2219,8306,10287,-0.9000000000000057,6.09,109,152,113,149,289,312,290
18482,543606,"Odorizzi, Jake",18482,100,0.238,0.173,0.278,0.412,0.308,0.32,0.246,945,3964,88.6,17.8,2044,88.2,87.26,2147,9002,9468,-0.9000000000000057,5.71,111,153,116,147,297,324,296
18381,572971,"Keuchel, Dallas",18381,100,0.255,0.14,0.295,0.395,0.307,0.31,0.256,1130,4430,87.2,3.1,2009,85.2,84.78,1870,8239,10138,-0.4000000000000057,6.03,106,150,113,148,291,316,287
18307,594798,"deGrom, Jacob",18307,100,0.209,0.118,0.286,0.328,0.253,0.257,0.208,904,4317,86.8,11.7,2297,92.9,93.35,2980,9542,8755,0.5,6.87,113,151,112,147,293,314,295
17915,543243,"Gray, Sonny",17915,100,0.231,0.138,0.282,0.368,0.293,0.302,0.236,954,4138,87.9,7.7,2499,88.8,88.24,1962,7902,10012,-0.5999999999999943,6.23,112,154,114,148,294,321,293
17567,457918,"Happ, J.A.",17567,100,0.249,0.168,0.289,0.417,0.311,0.316,0.25,1010,4051,88.5,13.1,2216,89.5,88.77,1827,8327,9224,-0.7000000000000028,5.99,107,152,113,147,297,322,290
17547,477132,"Kershaw, Clayton",17547,100,0.209,0.128,0.271,0.336,0.252,0.258,0.214,920,4408,86.7,9.9,2421,87.4,86.17,2648,8999,8542,-1.2000000000000028,6.17,111,153,110,147,295,312,290
17438,527048,"Pérez, Martín",17438,100,0.279,0.145,0.314,0.424,0.332,0.334,0.27,1183,4240,87.5,8.4,2044,89.1,88.47,1570,8091,9345,-0.5999999999999943,5.89,106,150,113,146,298,323,294
17035,450203,"Morton, Charlie",17035,100,0.228,0.143,0.296,0.37,0.296,0.294,0.226,889,3906,87.5,8.2,2458,88.7,87.85,2138,7857,9153,-0.7999999999999972,5.92,109,152,118,148,294,320,294
17009,446372,"Kluber, Corey",17009,100,0.23,0.14,0.292,0.37,0.281,0.284,0.23,975,4239,86.7,12.6,2353,88.6,88.61,2342,8384,8610,0,6.2,108,153,112,149,290,313,292
16981,502042,"Archer, Chris",16981,100,0.241,0.159,0.306,0.4,0.307,0.309,0.239,925,3841,89.5,11.7,2235,91.4,90.63,2306,7937,9043,-0.8000000000000114,5.84,110,152,115,147,299,326,296
16732,453562,"Arrieta, Jake",16732,100,0.239,0.147,0.283,0.385,0.3,0.305,0.242,934,3915,87.4,7.2,2281,90.4,89.57,1627,7559,9161,-0.8000000000000114,6.03,111,151,111,148,294,316,293
16727,471911,"Carrasco, Carlos",16727,100,0.246,0.165,0.313,0.411,0.303,0.295,0.235,1001,4072,88.7,9.3,2207,90,89.96,2494,8439,8273,0,6.24,109,153,113,149,291,315,292
16682,489119,"Miley, Wade",16682,100,0.267,0.152,0.307,0.419,0.326,0.325,0.26,1014,3802,86.9,7.7,2168,86.2,85.58,1647,7413,9267,-0.6000000000000085,5.93,107,151,113,146,295,316,291
16598,621244,"Berríos, José",16598,100,0.248,0.159,0.298,0.407,0.312,0.317,0.245,973,3924,87.7,13.7,2150,88.9,88.76,1843,7851,8745,-0.10000000000000853,6.33,108,153,116,148,295,321,295
16576,519144,"Porcello, Rick",16576,100,0.266,0.173,0.308,0.439,0.321,0.323,0.259,1074,4037,88.3,13.2,2378,86.7,86.1,1561,8010,8564,-0.6000000000000085,6.02,111,151,115,147,283,319,292
16472,425794,"Wainwright, Adam",16472,100,0.26,0.144,0.304,0.405,0.312,0.321,0.264,1021,3924,87.3,10.1,2391,83.1,82.95,1385,7215,9240,-0.09999999999999432,6.33,112,151,112,148,297,319,299
16323,593958,"Rodriguez, Eduardo",16323,100,0.252,0.154,0.309,0.406,0.312,0.302,0.234,918,3649,86.5,13,2135,90.6,90.05,1906,7760,8558,-0.5999999999999943,6.02,108,151,115,148,288,321,289
16291,573186,"Stroman, Marcus",16291,100,0.256,0.131,0.301,0.387,0.302,0.309,0.256,1012,3957,88.6,2.9,2382,89.7,88.9,1754,7490,8799,-0.7999999999999972,5.69,110,152,114,149,296,319,295
16101,608379,"Wacha, Michael",16101,100,0.262,0.17,0.303,0.432,0.322,0.327,0.261,991,3786,87.9,10.6,1991,89.6,90.28,1713,7935,8128,0.7000000000000028,6.73,110,151,112,147,295,317,295
16011,519242,"Sale, Chris",16011,100,0.218,0.143,0.303,0.361,0.275,0.267,0.207,815,3736,86.9,13.3,2271,88.3,87.19,2398,7834,8169,-1.0999999999999943,5.94,108,149,111,147,291,317,285
15944,605200,"Davies, Zach",15944,100,0.259,0.163,0.289,0.423,0.32,0.334,0.27,957,3689,87.2,10.6,2066,85,84.46,1393,6903,9039,-0.5,6.01,109,154,115,149,301,318,295
15820,527054,"Teheran, Julio",15820,100,0.236,0.173,0.268,0.409,0.312,0.327,0.248,845,3587,88.3,14.8,2244,86.6,86.37,1738,7271,8532,-0.19999999999998863,6.14,108,149,110,149,297,317,294
15738,592351,"Gray, Jon",15738,100,0.255,0.165,0.314,0.42,0.318,0.311,0.248,935,3666,88.3,9.9,2168,90.8,91.19,1919,7379,8348,0.4000000000000057,6.42,113,152,115,147,300,324,302
15602,608566,"Márquez, Germán",15602,100,0.256,0.174,0.307,0.43,0.318,0.313,0.252,983,3835,89.3,7.6,2293,90.7,89.29,1901,7579,8023,-1.4000000000000057,5.3,113,152,115,147,302,327,303
15554,456501,"Cueto, Johnny",15554,100,0.255,0.153,0.299,0.408,0.31,0.317,0.258,955,3742,87.1,12.5,2067,87.9,86.7,1609,7592,7954,-1.2000000000000028,5.62,111,151,111,148,293,314,295
15353,543699,"Roark, Tanner",15353,100,0.26,0.164,0.299,0.424,0.322,0.326,0.258,898,3454,87.5,11.8,2158,88,87.05,1484,6982,8347,-1,5.82,111,151,113,148,293,312,292
15114,605164,"Bundy, Dylan",15114,100,0.256,0.201,0.291,0.457,0.329,0.317,0.244,901,3525,88.2,16.6,2300,86.1,85.2,1881,7422,7673,-0.8999999999999915,5.76,109,155,116,148,299,322,297
15114,506433,"Darvish, Yu",15114,100,0.217,0.166,0.275,0.383,0.285,0.289,0.221,761,3503,87.4,14.2,2536,88.3,88.24,2030,7256,7856,-0.09999999999999432,6.26,112,154,117,149,296,323,300
15093,571666,"Fiers, Mike",15093,100,0.258,0.188,0.286,0.445,0.327,0.331,0.256,918,3564,88.3,14.9,2262,85.1,84.32,1419,7050,8022,-0.7999999999999972,5.95,109,149,114,149,291,319,293
14588,456034,"Price, David",14588,100,0.244,0.153,0.3,0.398,0.299,0.3,0.239,859,3518,87.6,12,2072,89.9,88.99,1754,7240,7338,-0.9000000000000057,5.91,107,150,113,147,289,317,287
14568,461829,"González, Gio",14568,100,0.251,0.135,0.306,0.385,0.31,0.313,0.244,801,3196,87.4,9.6,2204,86.3,84.94,1499,6336,8214,-1.3999999999999915,6.01,107,150,111,146,297,309,289
14416,607074,"Rodón, Carlos",14416,100,0.231,0.139,0.298,0.37,0.298,0.293,0.222,731,3161,88.5,14.7,2219,90.7,90.06,1837,6780,7630,-0.6000000000000085,5.97,108,150,110,146,296,316,289
14415,430935,"Hamels, Cole",14415,100,0.243,0.149,0.292,0.391,0.308,0.316,0.245,820,3377,88.2,10,1992,88.1,87.95,1840,6977,7424,-0.19999999999998863,6.27,107,150,109,147,298,322,294
14363,605483,"Snell, Blake",14363,100,0.221,0.14,0.298,0.361,0.292,0.296,0.22,660,2989,87.6,12.5,2309,90.2,90.5,2111,6543,7820,0.29999999999999716,6.57,109,153,115,146,298,321,294
14346,502624,"Anderson, Chase",14346,100,0.249,0.196,0.279,0.445,0.326,0.322,0.247,796,3195,86.8,15.7,2194,87.6,85.91,1494,6739,7598,-1.6999999999999886,5.61,110,154,114,149,300,316,292
14245,554430,"Wheeler, Zack",14245,100,0.238,0.121,0.301,0.358,0.284,0.285,0.232,804,3384,85.6,9.7,2317,92.8,93.87,1743,7175,7070,1.1000000000000085,6.94,111,151,113,147,294,319,294
14243,622491,"Castillo, Luis",14243,100,0.227,0.149,0.288,0.376,0.294,0.288,0.222,722,3184,87.2,6.5,2157,92.3,90.27,2109,6969,7272,-2,5.5,115,153,115,147,294,315,290
14242,518633,"Duffy, Danny",14242,100,0.253,0.161,0.298,0.414,0.317,0.326,0.251,834,3301,88.4,16.1,2275,88.9,89.27,1686,6910,7332,0.3999999999999915,6.61,109,152,113,143,299,320,294
14113,453178,"Kennedy, Ian",14113,100,0.252,0.206,0.287,0.458,0.33,0.333,0.251,793,3150,89.5,18,2318,89.2,89.07,1540,6725,7369,-0.10000000000000853,6.34,112,151,113,146,297,319,298
13989,547888,"Tanaka, Masahiro",13989,100,0.244,0.183,0.282,0.428,0.303,0.307,0.249,860,3518,88.5,9.8,2028,87.2,86.15,1867,7053,6935,-1.1000000000000085,5.69,108,153,114,147,293,321,290
13987,434671,"Sánchez, Aníbal",13987,100,0.259,0.192,0.291,0.451,0.329,0.315,0.248,846,3268,87.3,15.1,2092,86.9,86.75,1477,6513,7464,-0.10000000000000853,6.17,110,151,113,146,298,317,293
13965,502190,"Leake, Mike",13965,100,0.275,0.167,0.3,0.443,0.321,0.336,0.284,1012,3678,89.1,7.9,2132,87,85.06,1139,6796,7144,-1.9000000000000057,5.15,111,150,110,147,293,316,295
13946,640455,"Manaea, Sean",13946,100,0.25,0.166,0.291,0.416,0.31,0.318,0.253,850,3400,89.4,12.9,1805,87.9,88.43,1736,7043,6902,0.5,6.84,108,151,116,148,299,322,297
