"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"ST","2022-10-05","84.7","-2.67","5.61","Ohtani, Shohei",660650,660271,"strikeout","swinging_strike",,,,,5,"Dermis Garcia strikes out swinging.","R","R","R","OAK","LAA","S",2,,0,2,2022,"1.25","0.01","0.16","2.99",,676391,,2,5,"Bot",,,,,545358,,,4.152619863701284,-123.2677571444113,0.24774020528666685,11.852505602522625,25.86997118671424,-32.31216236757187,"3.67","1.84",,,,"85.3",2667,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.72",,,"0",1,0,0,,36,3,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",58,"-0.033","-0.204"
"ST","2022-10-05","83.9","-2.53","5.58","Ohtani, Shohei",660650,660271,,"swinging_strike",,,,,6,"Dermis Garcia strikes out swinging.","R","R","R","OAK","LAA","S",,,0,1,2022,"1.41","0.2","0.62","2.9",,676391,,2,5,"Bot",,,,,545358,,,4.536309705284413,-122.07505676596023,-0.14252809652627285,13.047472294802152,25.695461828479896,-30.375198111998095,"3.67","1.84",,,,"84.4",2634,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.71",,,,,,,,36,2,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",64,"0","-0.062"
"ST","2022-10-05","84.4","-2.55","5.65","Ohtani, Shohei",660650,660271,,"swinging_strike",,,,,14,"Dermis Garcia strikes out swinging.","R","R","R","OAK","LAA","S",,,0,0,2022,"1.26","0.25","0.79","1.43",,676391,,2,5,"Bot",,,,,545358,,,5.303030129673567,-122.6912562124333,-3.891362541213812,11.50963806756327,26.648356778601357,-29.074814601054957,"3.67","1.84",,,,"84.8",2526,"6.9",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.65",,,,,,,,36,1,"Sweeper",1,0,1,0,0,1,1,0,"Standard","Standard",63,"0","-0.046"
"CU","2022-10-05","74.3","-1.84","6.2","Ohtani, Shohei",668843,660271,"sac_fly","hit_into_play",,,,,4,"Conner Capel out on a sacrifice fly to center fielder Mike Trout.   Stephen Vogt scores.","R","L","R","OAK","LAA","X",8,"fly_ball",0,0,2022,"0.93","-1.1","-0.34","2.2",519390,676391,,1,5,"Bot",109.88,60.22,,,545358,,,1.452380936835323,-108.12886877895306,1.0452782592937149,6.987126154491066,20.90474402211983,-41.18865889706724,"3.36","1.67",345,"92.4",32,"74.4",2389,"6.6",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.87",0.083,0.152,"0",1,0,0,3,35,1,"Curveball",0,0,0,0,0,1,1,0,"Infield shift","Standard",38,"0.019","-0.399"
"ST","2022-10-05","85.6","-2.49","5.58","Ohtani, Shohei",640461,660271,"double","hit_into_play",,,,,4,"Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.","R","R","R","OAK","LAA","X",7,"line_drive",2,2,2022,"1.08","0.52","-0.72","2.75",,,519390,1,5,"Bot",36.65,97.97,,,545358,,,2.0231922786520133,-124.73911338150032,-1.475719915702829,10.910511339827156,24.540552980333644,-26.638773586255756,"3.4","1.61",246,"93.3",15,"86.6",2474,"6.8",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.7",0.874,0.881,"1.25",1,1,1,4,34,5,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",65,"0.112","0.935"
"ST","2022-10-05","87.3","-2.5","5.55","Ohtani, Shohei",640461,660271,,"ball",,,,,14,"Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.","R","R","R","OAK","LAA","B",,,1,2,2022,"1.42","0.23","1.91","2.41",,,519390,1,5,"Bot",,,,,545358,,,7.747159782755833,-126.96754868509831,-1.8732888672082841,13.702554314428955,26.568339779276425,-29.470416596484412,"3.58","1.63",,,,"87.9",2558,"6.7",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.78",,,,,,,,34,4,"Sweeper",0,0,0,0,0,0,0,0,"Standard","Standard",61,"0","0.057"
"SI","2022-10-05","96.5","-2.27","5.69","Ohtani, Shohei",640461,660271,,"foul",,,,,5,"Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.","R","R","R","OAK","LAA","S",,,1,1,2022,"-1.17","0.47","-0.21","2.78",,,519390,1,5,"Bot",,,,,545358,,,8.259657035830632,-140.41561586105362,-3.2822599788877564,-17.360409526349002,29.7714024246661,-25.413218332383853,"3.4","1.61",282,"88.1",34,"97.9",1902,"6.9",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.58",,,,,,,,34,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",225,"0","-0.07"
"SI","2022-10-05","95.9","-2.3","5.7","Ohtani, Shohei",640461,660271,,"swinging_strike",,,,,13,"Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.","R","R","R","OAK","LAA","S",,,1,0,2022,"-1.56","0.33","-1.04","1.64",,,519390,1,5,"Bot",,,,,545358,,,6.9353427839911745,-139.44908838481058,-5.9323525696804555,-21.91724455600835,31.60503903908963,-26.65695807473709,"3.4","1.61",,,,"96.9",1828,"6.9",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.61",,,,,,,,34,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",221,"0","-0.058"
"SI","2022-10-05","95","-2.18","5.76","Ohtani, Shohei",640461,660271,,"ball",,,,,14,"Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.","R","R","R","OAK","LAA","B",,,0,0,2022,"-1.29","0.66","0.16","1.43",,,519390,1,5,"Bot",,,,,545358,,,9.107170576964982,-137.9900593714711,-7.238361812240389,-18.4874538908898,27.957359218010723,-22.360877393451172,"3.62","1.67",,,,"96.2",1814,"6.9",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.61",,,,,,,,34,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",220,"0","0.042"
"ST","2022-10-05","87.9","-2.56","5.68","Ohtani, Shohei",519390,660271,"walk","ball",,,,,11,"Stephen Vogt walks.","R","L","R","OAK","LAA","B",,,3,2,2022,"0.91","0.85","-1.15","3.62",,,,1,5,"Bot",,,,,545358,,,1.5584752503495682,-128.19158354626774,-0.7173736631313379,9.781770898578651,24.61589778968576,-22.773221785692414,"3.05","1.55",,,,"89.1",2450,"6.7",662421,660271,545358,622110,664058,650859,670869,666176,545361,621493,"53.76",,,"0.7",1,0,0,,33,6,"Sweeper",0,0,0,0,0,0,0,0,"Infield shift","Standard",74,"0.033","0.212"
